TRGID,timeStamp,Location
TRG-78189504,03/04/20 14:04:47,L2694904
TRG-75795833,03/04/20 14:04:53,L2694904
TRG-77733678,03/04/20 14:04:59,L2694904
TRG-90939275,03/04/20 14:07:34,L2694904
TRG-91696046,03/04/20 14:07:36,L2694904
TRG-88707561,03/04/20 14:07:38,L2694904
TRG-90816272,03/04/20 14:08:25,L2694904
TRG-79916508,03/04/20 14:08:37,L2694904
TRG-89982901,03/04/20 14:10:32,L2694904
TRG-91149201,03/04/20 14:10:38,L2694904
TRG-89983028,03/04/20 14:10:42,L2694904
TRG-90584015,03/04/20 14:10:48,L2694904
TRG-89983022,03/04/20 14:10:54,L2694904
TRG-89983616,03/04/20 14:10:56,L2694904
TRG-79683064,03/04/20 14:11:03,L2694904
TRG-77712787,03/04/20 14:11:37,L2694904
TRG-90865050,03/04/20 14:11:48,L2694904
TRG-86599391,03/04/20 14:11:50,L2694904
TRG-91509332,03/04/20 14:12:15,L2694904
TRG-92249342,03/04/20 14:14:47,L2694904
TRG-92187496,03/04/20 14:14:49,L2694904
TRG-90508471,03/04/20 14:14:51,L2694904
TRG-91896815,03/04/20 14:14:56,L2694904
TRG-88339468,03/04/20 14:14:59,L2694904
TRG-87633635,03/04/20 14:15:43,L2694904
TRG-91301838,03/04/20 14:15:46,L2694904
TRG-91532523,03/04/20 14:16:10,L2694904
TRG-90188427,03/04/20 14:16:20,L2694904
TRG-90541486,03/04/20 14:16:30,L2694904
TRG-88829733,03/04/20 14:18:13,L2694904
TRG-90069557,03/04/20 14:18:17,L2694904
TRG-90114439,03/04/20 14:18:24,L2694904
TRG-88256920,03/04/20 14:18:27,L2694904
TRG-90142460,03/04/20 14:18:32,L2694904
TRG-90652431,03/04/20 14:21:09,L2694904
TRG-91369797,03/04/20 14:21:13,L2694904
TRG-90652534,03/04/20 14:21:16,L2694904
TRG-75997835,03/04/20 14:21:29,L2694904
23TRG-89977979,03/04/20 14:27:01,L2694904
TRG-87695141,03/04/20 14:27:04,L2694904
TRG-89977867,03/04/20 14:27:08,L2694904
TRG-90517272,03/04/20 14:27:10,L2694904
TRG-91425461,03/04/20 14:27:13,L2694904
TRG-88679679,03/04/20 14:27:15,L2694904
TRG-88774686,03/04/20 14:27:18,L2694904
TRG-87559858,03/04/20 14:27:22,L2694904
TRG-72433440,03/04/20 14:27:26,L2694904
TRG-91496626,03/04/20 14:27:30,L2694904
TRG-90584650,03/04/20 14:27:33,L2694904
TRG-89755617,03/04/20 14:27:36,L2694904
TRG-90584716,03/04/20 14:27:41,L2694904
TRG-90113991,03/04/20 14:38:11,L2694904
TRG-91272698,03/04/20 14:38:18,L2694904
TRG-89999954,03/04/20 14:38:27,L2694904
